CNPJ_NORMALIZADO,razao_social,Municipio,Porte,CNAE PRIMARIO,TEM_SESI,TEM_SENAI,STATUS_COMERCIAL,OPORTUNIDADE_CROSS_SELL
37308375000123,TAMP PLAST INDUSTRIA E COMERCIO DE PLASTICO LTDA,Maceió,DEMAIS,Recuperacao de materiais nao especificados anteriormente,1,0,SOMENTE SESI,SESI → SENAI
8295507000121,TECELAGEM ALAGOANA LTDA,Maceió,MICRO EMPRESA,Fabricacao de artefatos de tapecaria,1,0,SOMENTE SESI,SESI → SENAI
6143647000159,TECHPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA,Maceió,DEMAIS,Fabricacao de artefatos de material plastico para uso pessoal e domestico,1,0,SOMENTE SESI,SESI → SENAI
33841727001203,TECNOSONDA S A,Maceió,DEMAIS,Obras de fundacoes,1,0,SOMENTE SESI,SESI → SENAI
14871050000159,TECPECAS DE ALAGOAS LTDA,Maceió,PEQUENO PORTE,Instalacao de maquinas e equipamentos industriais,1,0,SOMENTE SESI,SESI → SENAI
69991214000173,TEMA SERVICOS LTDA,Maceió,MICRO EMPRESA,Atividades de franqueadas do correio nacional,1,0,SOMENTE SESI,SESI → SENAI
10811586000128,TETO PLANEJAMENTO E INCORPORACOES LTDA,Maceió,DEMAIS,Construcao de edificios,1,0,SOMENTE SESI,SESI → SENAI
10472933000135,TEXAS INDUSTRIAL S/A,Maceió,DEMAIS,"Fabricacao de motores e turbinas, pecas e acessorios, exceto para avioes e veiculos rodoviarios",1,0,SOMENTE SESI,SESI → SENAI
30553112000130,THAYSA CAVALCANTE DOS SANTOS LTDA,Maceió,PEQUENO PORTE,Servicos de lanternagem ou funilaria e pintura de veiculos automotores,1,0,SOMENTE SESI,SESI → SENAI
45316850000131,THERMO MACEIO REFRIGERACAO LTDA,Maceió,MICRO EMPRESA,"Servicos de instalacao, manutencao e reparacao de acessorios para veiculos automotores",1,0,SOMENTE SESI,SESI → SENAI
90347840002242,TK ELEVADORES BRASIL LTDA,Maceió,DEMAIS,"Instalacao, manutencao e reparacao de elevadores, escadas e esteiras rolantes",1,0,SOMENTE SESI,SESI → SENAI
1334368000159,ULTRAPLAST IND.E COM.DE SACOLAS PLASTICAS LTDA,Maceió,DEMAIS,Fabricacao de artefatos de material plastico para outros usos nao especificados anteriormente,1,0,SOMENTE SESI,SESI → SENAI
30380199000191,UNAMETAL COMERCIO E SERVICOS LTDA,Maceió,PEQUENO PORTE,Servicos de tratamento e revestimento em metais,1,0,SOMENTE SESI,SESI → SENAI
5550193000178,USIMAN SERVICOS & ENGENHARIA LTDA,Maceió,MICRO EMPRESA,Fabricacao de estruturas metalicas,1,0,SOMENTE SESI,SESI → SENAI
8445132000139,V2 CONSTRUCOES LTDA,Maceió,DEMAIS,Construcao de edificios,1,0,SOMENTE SESI,SESI → SENAI
554672000149,VERA COMERCIO E CONFECCOES LTDA,Maceió,MICRO EMPRESA,"Confeccao de pecas de vestuario, exceto roupas intimas e as confeccionadas sob medida",1,0,SOMENTE SESI,SESI → SENAI
9624655000105,VERDI AMBIENTAL LTDA,Maceió,MICRO EMPRESA,Coleta de residuos nao perigosos,1,0,SOMENTE SESI,SESI → SENAI
9558134000288,VIA AMBIENTAL ENGENHARIA E SERVICOS LTDA,Maceió,DEMAIS,Coleta de residuos nao perigosos,1,0,SOMENTE SESI,SESI → SENAI
34446436000120,VIRTUALNET TELECOMUNICACOES LTDA,Maceió,MICRO EMPRESA,Servicos de comunicacao multimidia - scm,1,0,SOMENTE SESI,SESI → SENAI
24285302000111,VISGUEIRO & MAGALHAES LTDA,Maceió,PEQUENO PORTE,Fabricacao de estruturas metalicas,1,0,SOMENTE SESI,SESI → SENAI
36033147000125,VMN 01 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,Maceió,DEMAIS,Construcao de edificios,1,0,SOMENTE SESI,SESI → SENAI
44113690000160,VOVO MAZE INDUSTRIA E COMERCIO LTDA,Maceió,PEQUENO PORTE,Moagem e fabricacao de produtos de origem vegetal nao especificados anteriormente,1,0,SOMENTE SESI,SESI → SENAI
8295547000173,WAGNER CABRAL EMPREENDIMENTOS LTDA.,Maceió,DEMAIS,Incorporacao de empreendimentos imobiliarios,1,0,SOMENTE SESI,SESI → SENAI
5417572000194,WW INDUSTRIA MECANICA LTDA,Maceió,PEQUENO PORTE,"Fabricacao de motores e turbinas, pecas e acessorios, exceto para avioes e veiculos rodoviarios",1,0,SOMENTE SESI,SESI → SENAI
92660604014728,YARA BRASIL FERTILIZANTES S/A,Maceió,DEMAIS,"Fabricacao de adubos e fertilizantes, exceto organominerais",1,0,SOMENTE SESI,SESI → SENAI
10325863000192,CLAUDIVALDO BEZERRA LIMA,Major Isidoro,MICRO EMPRESA,Fabricacao de laticinios,1,0,SOMENTE SESI,SESI → SENAI
1596670000185,JOSE SERGIO SILVA MORAIS,Major Isidoro,MICRO EMPRESA,Fabricacao de laticinios,1,0,SOMENTE SESI,SESI → SENAI
47895879000140,JULIANO BARBOSA SILVA,Major Isidoro,PEQUENO PORTE,Fabricacao de laticinios,1,0,SOMENTE SESI,SESI → SENAI
12069166000143,LATICINIO OURO BRANCO LTDA,Major Isidoro,MICRO EMPRESA,Fabricacao de laticinios,1,0,SOMENTE SESI,SESI → SENAI
2833384000159,M N M AMARAL,Major Isidoro,MICRO EMPRESA,Fabricacao de laticinios,1,0,SOMENTE SESI,SESI → SENAI
24937152000183,LAIKOS SOLUCOES EM TELECOMUNICACOES LTDA,Maragogi,MICRO EMPRESA,Servicos de comunicacao multimidia - scm,1,0,SOMENTE SESI,SESI → SENAI
12513140000142,ANCORA TELECOM LTDA,Marechal Deodoro,PEQUENO PORTE,Servicos de comunicacao multimidia - scm,1,0,SOMENTE SESI,SESI → SENAI
5862270000125,CAPE AGUAS NORDESTE INDUSTRIA E COMERCIO LTDA,Marechal Deodoro,DEMAIS,Fabricacao de outros produtos quimicos nao especificados anteriormente,1,0,SOMENTE SESI,SESI → SENAI
13363936000129,DAMASCENO FERREIRA E SILVA COMERCIO DE VIDROS E FORRO LTDA,Marechal Deodoro,PEQUENO PORTE,Fabricacao de esquadrias de metal,1,0,SOMENTE SESI,SESI → SENAI
86981966000334,"ESMALGLASS DO BRASIL - FRITAS, ESMALTES E CORANTES CERAMICOS LTDA",Marechal Deodoro,DEMAIS,"Fabricacao de tintas, vernizes, esmaltes e lacas",1,0,SOMENTE SESI,SESI → SENAI
30861353000147,GIVANILDO PEREIRA DOS SANTOS,Marechal Deodoro,MICRO EMPRESA,Fabricacao de moveis com predominancia de madeira,1,0,SOMENTE SESI,SESI → SENAI
28790078000176,GLOBOMAQ - SERVICOS E EQUIPAMENTOS INDUSTRIAIS LTDA,Marechal Deodoro,MICRO EMPRESA,Manutencao e reparacao de outras maquinas e equipamentos para usos industriais nao especificados anteriormente,1,0,SOMENTE SESI,SESI → SENAI
12164854000192,INDUSTRIA DE CIMENTOS DE ALAGOAS LTDA,Marechal Deodoro,DEMAIS,Fabricacao de cimento,1,0,SOMENTE SESI,SESI → SENAI
10782639000200,INTERLANDIA LIMITADA,Marechal Deodoro,DEMAIS,Fabricacao de produtos de limpeza e polimento,1,0,SOMENTE SESI,SESI → SENAI
54467844000176,ISOMIX INDUSTRIA DE CONCRETOS ESPECIAIS LTDA,Marechal Deodoro,PEQUENO PORTE,Preparacao de massa de concreto e argamassa para construcao,1,0,SOMENTE SESI,SESI → SENAI
29919761000123,K W A INDUSTRIA E COMERCIO DE METAIS LTDA,Marechal Deodoro,DEMAIS,Fundicao de metais nao ferrosos e suas ligas,1,0,SOMENTE SESI,SESI → SENAI
22866960000171,KOD ENGENHARIA LTDA,Marechal Deodoro,PEQUENO PORTE,Servicos de engenharia,1,0,SOMENTE SESI,SESI → SENAI
20058986000168,SORMEL INDUSTRIA DE SORVETES LTDA,Maribondo,MICRO EMPRESA,Fabricacao de sorvetes e outros gelados comestiveis,1,0,SOMENTE SESI,SESI → SENAI
12718011001081,CENTRAL ACUCAREIRA SANTO ANTONIO S A,Matriz de Camaragibe,DEMAIS,Fabricacao de acucar em bruto,1,0,SOMENTE SESI,SESI → SENAI
8995670000105,CERAMICA ESPERANCA LTDA,Matriz de Camaragibe,MICRO EMPRESA,"Fabricacao de artefatos de ceramica e barro cozido para uso na construcao, exceto azulejos e pisos",1,0,SOMENTE SESI,SESI → SENAI
8014225000109,ALBATROZ INDUSTRIA E COMERCIO DE CONFECCOES DE ROUPAS LTDA,Murici,MICRO EMPRESA,Confeccao de roupas intimas,1,0,SOMENTE SESI,SESI → SENAI
5382505000181,"ART-NOR ARATROP NORDESTE INDUSTRIAL, COMERCIAL, IMPORTADORA E EXPORTADORA LTDA.",Murici,DEMAIS,Fabricacao de aditivos de uso industrial,1,0,SOMENTE SESI,SESI → SENAI
8188552000187,INTIMOS INDUSTRIA E COMERCIO DE CONFECCOES DE ROUPAS LTDA,Murici,MICRO EMPRESA,Confeccao de roupas intimas,1,0,SOMENTE SESI,SESI → SENAI
22763714000194,MRS CERVEJA DO NORDESTE LTDA,Murici,PEQUENO PORTE,Fabricacao de cervejas e chopes,1,0,SOMENTE SESI,SESI → SENAI
8013954000140,PADRAO UNIFORMES INDUSTRIA E COMERCIO DE CONFECCOES DE ROUPAS LTDA,Murici,MICRO EMPRESA,Confeccao de roupas intimas,1,0,SOMENTE SESI,SESI → SENAI
18205634000146,VIP SPORTS LTDA,Murici,MICRO EMPRESA,"Confeccao de pecas de vestuario, exceto roupas intimas e as confeccionadas sob medida",1,0,SOMENTE SESI,SESI → SENAI
15392907000110,SUPER CONNECT TELECOM LTDA,Olho d'Água das Flores,PEQUENO PORTE,Provedores de acesso as redes de comunicacoes,1,0,SOMENTE SESI,SESI → SENAI
9168566000100,ADRENALINA NET LTDA,Palmeira dos Índios,PEQUENO PORTE,Provedores de acesso as redes de comunicacoes,1,0,SOMENTE SESI,SESI → SENAI
16811100000138,BELINHA MODAS LTDA,Palmeira dos Índios,MICRO EMPRESA,"Confeccao de pecas de vestuario, exceto roupas intimas e as confeccionadas sob medida",1,0,SOMENTE SESI,SESI → SENAI
3965700000109,COOPERATIVA DE TRABALHO DOS PRODUTORES DO BONIFACIO LTDA,Palmeira dos Índios,DEMAIS,"Fabricacao de farinha de milho e derivados, exceto oleos de milho",1,0,SOMENTE SESI,SESI → SENAI
24470023000128,DENIZ & CIA LTDA,Palmeira dos Índios,MICRO EMPRESA,"Confeccao, sob medida, de pecas do vestuario, exceto roupas intimas",1,0,SOMENTE SESI,SESI → SENAI
45587682000119,E O DE LUCENA JUNIOR,Palmeira dos Índios,MICRO EMPRESA,Servicos de comunicacao multimidia - scm,1,0,SOMENTE SESI,SESI → SENAI
9342379000192,INDUSTRIA DE LATICINIOS PALMEIRA DOS INDIOS S/A ILPISA - EM RECUPERACAO JUDICIAL,Palmeira dos Índios,DEMAIS,Preparacao do leite,1,0,SOMENTE SESI,SESI → SENAI
818307000102,J M DELGADO JUNIOR,Palmeira dos Índios,MICRO EMPRESA,Faccao de roupas profissionais,1,0,SOMENTE SESI,SESI → SENAI
61124250000128,M DE CACIA DA SILVA GOES LTDA,Palmeira dos Índios,MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para empresas,1,0,SOMENTE SESI,SESI → SENAI
10415021000121,MARTA ARAUJO SAMPAIO PADILHA,Palmeira dos Índios,MICRO EMPRESA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,1,0,SOMENTE SESI,SESI → SENAI
10238512000144,PROFIBER TELECOM LTDA,Palmeira dos Índios,MICRO EMPRESA,Servicos de comunicacao multimidia - scm,1,0,SOMENTE SESI,SESI → SENAI
3022327000152,ROSANGELA ARAUJO BRANDAO NASCIMENTO,Palmeira dos Índios,MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para empresas,1,0,SOMENTE SESI,SESI → SENAI
