Porte,CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
DEMAIS,Fabricacao de laminados planos e tubulares de material plastico,3,1,2,1,2,1,33.3333,66.6667,66.6667,2,1,1
DEMAIS,Fabricacao de laticinios,17,0,1,0,1,16,0.0,5.8824,5.8824,17,16,16
DEMAIS,Fabricacao de luminarias e outros equipamentos de iluminacao,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de maquinas e equipamentos para uso industrial especifico nao especificados anteriormente, pecas e acessorios",5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
DEMAIS,"Fabricacao de maquinas, equipamentos e aparelhos para transporte e elevacao de pessoas, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de massas alimenticias,2,1,1,1,1,1,50.0,50.0,50.0,1,1,1
DEMAIS,Fabricacao de medicamentos alopaticos para uso humano,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Fabricacao de motocicletas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de motores e turbinas, pecas e acessorios, exceto para avioes e veiculos rodoviarios",2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
DEMAIS,"Fabricacao de motores eletricos, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de moveis com predominancia de madeira,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,"Fabricacao de moveis de outros materiais, exceto madeira e metal",2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
DEMAIS,"Fabricacao de oleos vegetais refinados, exceto oleo de milho",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de outras bebidas nao alcoolicas nao especificadas anteriormente,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de outras maquinas e equipamentos de uso geral nao especificados anteriormente, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de outros produtos alimenticios nao especificados anteriormente,12,1,0,0,1,11,8.3333,0.0,8.3333,11,12,11
DEMAIS,Fabricacao de outros produtos de metal nao especificados anteriormente,5,0,2,0,2,3,0.0,40.0,40.0,5,3,3
DEMAIS,Fabricacao de outros produtos de minerais nao metalicos nao especificados anteriormente,3,1,0,0,1,2,33.3333,0.0,33.3333,2,3,2
DEMAIS,"Fabricacao de outros produtos derivados do petroleo, exceto produtos do refino",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
DEMAIS,Fabricacao de outros produtos quimicos inorganicos nao especificados anteriormente,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Fabricacao de outros produtos quimicos nao especificados anteriormente,9,1,1,0,2,7,11.1111,11.1111,22.2222,8,8,7
DEMAIS,Fabricacao de papel,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de produtos ceramicos nao refratarios nao especificados anteriormente,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Fabricacao de produtos de carne,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Fabricacao de produtos de limpeza e polimento,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
DEMAIS,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Fabricacao de produtos de panificacao industrial,6,2,0,0,2,4,33.3333,0.0,33.3333,4,6,4
DEMAIS,Fabricacao de produtos de papel para uso domestico e higienico sanitario nao especificados anteriormente,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
DEMAIS,"Fabricacao de produtos de papel, cartolina, papel cartao e papelao ondulado para uso industrial, comercial e de escritorio",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de produtos de pastas celulosicas, papel, cartolina, papel cartao e papelao ondulado nao especificados anteriormente",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de produtos de trefilados de metal padronizados,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
DEMAIS,Fabricacao de produtos do refino de petroleo,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
