Municipio,Porte,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
São Miguel dos Campos,MICRO EMPRESA,467,9,4,3,10,457,1.9272,0.8565,2.1413,458,463,457
São Miguel dos Campos,PEQUENO PORTE,32,3,2,0,5,27,9.375,6.25,15.625,29,30,27
São Miguel dos Milagres,DEMAIS,19,0,0,0,0,19,0.0,0.0,0.0,19,19,19
São Miguel dos Milagres,MICRO EMPRESA,111,0,0,0,0,111,0.0,0.0,0.0,111,111,111
São Miguel dos Milagres,PEQUENO PORTE,9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
São Sebastião,DEMAIS,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
São Sebastião,MICRO EMPRESA,135,0,0,0,0,135,0.0,0.0,0.0,135,135,135
São Sebastião,PEQUENO PORTE,12,0,0,0,0,12,0.0,0.0,0.0,12,12,12
Tanque d'Arca,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Tanque d'Arca,MICRO EMPRESA,19,0,0,0,0,19,0.0,0.0,0.0,19,19,19
Tanque d'Arca,PEQUENO PORTE,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Taquarana,DEMAIS,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Taquarana,MICRO EMPRESA,86,1,0,0,1,85,1.1628,0.0,1.1628,85,86,85
Taquarana,PEQUENO PORTE,16,1,0,0,1,15,6.25,0.0,6.25,15,16,15
Teotônio Vilela,DEMAIS,19,2,1,1,2,17,10.5263,5.2632,10.5263,17,18,17
Teotônio Vilela,MICRO EMPRESA,259,2,1,1,2,257,0.7722,0.3861,0.7722,257,258,257
Teotônio Vilela,PEQUENO PORTE,26,0,0,0,0,26,0.0,0.0,0.0,26,26,26
Traipu,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Traipu,MICRO EMPRESA,26,0,0,0,0,26,0.0,0.0,0.0,26,26,26
Traipu,PEQUENO PORTE,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
União dos Palmares,DEMAIS,23,1,1,1,1,22,4.3478,4.3478,4.3478,22,22,22
União dos Palmares,MICRO EMPRESA,532,0,0,0,0,532,0.0,0.0,0.0,532,532,532
União dos Palmares,PEQUENO PORTE,20,0,0,0,0,20,0.0,0.0,0.0,20,20,20
Viçosa,DEMAIS,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Viçosa,MICRO EMPRESA,203,0,1,0,1,202,0.0,0.4926,0.4926,203,202,202
Viçosa,PEQUENO PORTE,7,0,0,0,0,7,0.0,0.0,0.0,7,7,7
Água Branca,DEMAIS,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Água Branca,MICRO EMPRESA,53,1,0,0,1,52,1.8868,0.0,1.8868,52,53,52
