CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
"Fabricacao de moveis de outros materiais, exceto madeira e metal",43,3,1,1,3,40,6.9767,2.3256,6.9767,40,42,40
Fabricacao de produtos derivados do cacau e de chocolates,42,1,1,1,1,41,2.381,2.381,2.381,41,41,41
"Manutencao e reparacao de maquinas e equipamentos para as industrias de alimentos, bebidas e fumo",41,1,1,1,1,40,2.439,2.439,2.439,40,40,40
Fabricacao de artefatos de material plastico para outros usos nao especificados anteriormente,41,4,3,2,5,36,9.7561,7.3171,12.1951,37,38,36
Fabricacao de outros produtos de metal nao especificados anteriormente,39,2,2,0,4,35,5.1282,5.1282,10.2564,37,37,35
Manutencao e reparacao de outras maquinas e equipamentos para usos industriais nao especificados anteriormente,39,3,2,2,3,36,7.6923,5.1282,7.6923,36,37,36
"Instalacao, manutencao e reparacao de elevadores, escadas e esteiras rolantes",38,1,0,0,1,37,2.6316,0.0,2.6316,37,38,37
Confeccao de roupas intimas,38,5,1,1,5,33,13.1579,2.6316,13.1579,33,37,33
Fabricacao de produtos de limpeza e polimento,38,2,0,0,2,36,5.2632,0.0,5.2632,36,38,36
Manutencao e reparacao de maquinas e equipamentos para agricultura e pecuaria,37,0,0,0,0,37,0.0,0.0,0.0,37,37,37
Producao de artefatos estampados de metal,37,1,0,0,1,36,2.7027,0.0,2.7027,36,37,36
Fabricacao de alimentos para animais,36,4,1,1,4,32,11.1111,2.7778,11.1111,32,35,32
Fabricacao de artefatos texteis para uso domestico,36,1,0,0,1,35,2.7778,0.0,2.7778,35,36,35
"Tratamentos termicos, acusticos ou de vibracao",35,0,0,0,0,35,0.0,0.0,0.0,35,35,35
Aluguel de andaimes,35,0,0,0,0,35,0.0,0.0,0.0,35,35,35
Servicos de encadernacao e plastificacao,35,0,0,0,0,35,0.0,0.0,0.0,35,35,35
"Fabricacao de artefatos de ceramica e barro cozido para uso na construcao, exceto azulejos e pisos",33,5,2,0,7,26,15.1515,6.0606,21.2121,28,31,26
"Recuperacao de materiais metalicos, exceto aluminio",32,1,0,0,1,31,3.125,0.0,3.125,31,32,31
Recuperacao de materiais nao especificados anteriormente,31,4,2,2,4,27,12.9032,6.4516,12.9032,27,29,27
"Fabricacao de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",29,0,0,0,0,29,0.0,0.0,0.0,29,29,29
"Fabricacao de sucos de frutas, hortalicas e legumes, exceto concentrados",29,1,2,1,2,27,3.4483,6.8966,6.8966,28,27,27
Abate de aves,29,2,1,1,2,27,6.8966,3.4483,6.8966,27,28,27
Fabricacao de artefatos de tapecaria,28,1,0,0,1,27,3.5714,0.0,3.5714,27,28,27
Fabricacao de artefatos de borracha nao especificados anteriormente,28,0,0,0,0,28,0.0,0.0,0.0,28,28,28
Fabricacao de aguas envasadas,28,8,3,3,8,20,28.5714,10.7143,28.5714,20,25,20
Servicos de alinhamento e balanceamento de veiculos automotores,27,1,0,0,1,26,3.7037,0.0,3.7037,26,27,26
Preparacao de massa de concreto e argamassa para construcao,27,9,5,4,10,17,33.3333,18.5185,37.037,18,22,17
Fabricacao de paineis e letreiros luminosos,27,0,0,0,0,27,0.0,0.0,0.0,27,27,27
Fabricacao de outros produtos alimenticios nao especificados anteriormente,27,3,1,1,3,24,11.1111,3.7037,11.1111,24,26,24
Atividades de franqueadas do correio nacional,26,1,0,0,1,25,3.8462,0.0,3.8462,25,26,25
Distribuicao de energia eletrica,26,0,1,0,1,25,0.0,3.8462,3.8462,26,25,25
"Construcao de redes de abastecimento de agua, coleta de esgoto e construcoes correlatas, exceto obras de irrigacao",25,0,3,0,3,22,0.0,12.0,12.0,25,22,22
"Atividades relacionadas a esgoto, exceto a gestao de redes",25,0,0,0,0,25,0.0,0.0,0.0,25,25,25
Montagem de estruturas metalicas,25,0,0,0,0,25,0.0,0.0,0.0,25,25,25
Fabricacao de produtos de carne,25,2,0,0,2,23,8.0,0.0,8.0,23,25,23
Servicos de telefonia fixa comutada - stfc,25,0,0,0,0,25,0.0,0.0,0.0,25,25,25
Fabricacao de obras de caldeiraria pesada,24,0,0,0,0,24,0.0,0.0,0.0,24,24,24
Fabricacao de esquadrias de madeira e de pecas de madeira para instalacoes industriais e comerciais,23,3,1,1,3,20,13.0435,4.3478,13.0435,20,22,20
"Confeccao de roupas profissionais, exceto sob medida",23,7,2,2,7,16,30.4348,8.6957,30.4348,16,21,16
Fabricacao de outros brinquedos e jogos recreativos nao especificados anteriormente,22,0,0,0,0,22,0.0,0.0,0.0,22,22,22
Manutencao e reparacao de embarcacoes para esporte e lazer,22,0,0,0,0,22,0.0,0.0,0.0,22,22,22
"Fabricacao de cosmeticos, produtos de perfumaria e de higiene pessoal",22,3,0,0,3,19,13.6364,0.0,13.6364,19,22,19
