cnpj_basico,opcao_simples,data_opcao_simples,data_exclusao_simples,opcao_mei,data_opcao_mei,data_exclusao_mei
43161615,N,20210817,20231231,N,00000000,00000000
43161766,S,20210817,00000000,N,00000000,00000000
43164134,S,20210817,00000000,S,20210817,00000000
43167871,N,20240101,20241231,N,00000000,00000000
43168686,S,20210818,00000000,S,20210818,00000000
43169772,S,20210818,00000000,S,20210818,00000000
43170587,S,20210818,00000000,S,20210818,00000000
43170707,S,20210818,00000000,S,20210818,00000000
43172185,S,20210818,00000000,S,20210818,00000000
43172996,N,20210818,20241231,N,20210818,20241231
43174870,S,20210818,20261231,S,20210818,20261231
43175755,N,20210818,20231231,N,00000000,00000000
43175791,S,20260101,20261231,N,20210818,20220531
43176447,N,20210818,20251231,N,20210818,20251231
43178192,S,20260101,20261231,N,20210818,20220731
43179615,S,20210818,00000000,S,20210818,00000000
43180437,S,20210818,00000000,S,20210818,00000000
43182261,N,20210818,20220531,N,00000000,00000000
43182752,S,20210818,00000000,S,20210818,00000000
43183901,S,20210818,00000000,S,20210818,00000000
43184955,S,20210818,00000000,S,20210818,00000000
43185237,S,20250101,00000000,N,20250101,20260531
43185264,N,20210818,20230831,N,00000000,00000000
43188344,S,20210819,00000000,N,20210819,20220831
43189606,S,20260101,20261231,N,00000000,00000000
43189649,S,20210819,00000000,S,20210819,00000000
43191459,N,20210819,20220831,N,00000000,00000000
43199665,S,20260101,00000000,S,20260101,00000000
43200133,S,20210819,00000000,S,20210819,00000000
43202461,S,20210819,00000000,S,20210819,00000000
43205425,N,20210820,20251231,N,20210820,20251231
43206892,S,20210820,00000000,S,20210820,00000000
43208682,S,20210820,00000000,S,20210820,00000000
43208702,S,20210820,00000000,S,20210820,00000000
43209887,S,20210820,20261231,S,20210820,20261231
43210200,S,20210820,00000000,N,20210820,20220930
43213563,S,20210820,00000000,S,20210820,00000000
43220218,S,20210821,00000000,S,20210821,00000000
43220627,S,20210821,00000000,S,20210821,00000000
43220677,S,20210821,00000000,S,20210821,00000000
43222202,S,20210821,00000000,S,20210821,00000000
43224243,S,20210822,00000000,S,20210822,00000000
43224361,S,20210822,00000000,S,20210822,00000000
43224753,N,20240101,20241231,N,00000000,00000000
43226048,S,20210822,20261231,N,20210822,20211231
43228086,S,20210823,00000000,S,20210823,00000000
43228912,S,20210823,00000000,S,20210823,00000000
43229745,S,20210823,00000000,S,20210823,00000000
43230399,S,20210823,20261231,S,20210823,20261231
43230657,S,20210823,00000000,S,20210823,00000000
43231515,S,20210823,00000000,S,20210823,00000000
43232518,S,20240101,00000000,N,00000000,00000000
43232564,N,20210823,20231231,N,00000000,00000000
43232894,S,20210823,20261231,S,20210823,20261231
43232996,S,20210823,00000000,N,00000000,00000000
43234447,S,20210823,00000000,S,20210823,00000000
43238293,S,20210823,00000000,N,20210823,20241130
43240535,N,20230101,20231231,N,00000000,00000000
43242018,N,20250101,20251231,N,00000000,00000000
43243581,S,20210823,00000000,S,20210823,00000000
43245857,S,20210823,00000000,S,20210823,00000000
43246480,S,20210823,20261231,S,20210823,20261231
43249206,S,20210824,00000000,S,20210824,00000000
43250443,S,20210824,00000000,S,20210824,00000000
43254506,S,20210824,20261231,S,20210824,20261231
43255854,S,20210824,00000000,S,20210824,00000000
43268482,S,20210825,00000000,S,20210825,00000000
43268503,S,20210825,00000000,S,20210825,00000000
43269930,S,20210825,00000000,S,20210825,00000000
43270674,S,20210825,00000000,S,20210825,00000000
43271357,N,20210825,20251231,N,20210825,20251231
43272255,N,20210825,20241231,N,20210825,20241231
43272305,S,20210825,00000000,S,20210825,00000000
43273612,S,20260101,00000000,S,20260101,00000000
43277974,S,20210825,00000000,S,20210825,00000000
43278794,S,20210825,00000000,S,20210825,00000000
43279578,S,20210825,00000000,N,20210825,20231231
43281259,S,20210825,00000000,S,20210825,00000000
43282320,S,20210825,00000000,S,20210825,00000000
43282475,N,20220101,20231231,N,00000000,00000000
43282504,S,20260101,20261231,N,00000000,00000000
43285927,S,20210826,00000000,N,00000000,00000000
43286222,S,20210826,00000000,S,20210826,00000000
43286584,S,20210826,00000000,S,20210826,00000000
43287821,S,20210826,00000000,S,20210826,00000000
43290050,S,20210826,00000000,S,20210826,00000000
43290422,N,20210826,20241231,N,20210826,20241231
43290462,S,20210826,00000000,S,20210826,00000000
43291550,N,20240101,20241231,N,00000000,00000000
43292346,S,20210826,00000000,S,20210826,00000000
43292637,S,20210826,00000000,S,20210826,00000000
43292932,N,20210826,20251231,N,20210826,20251231
43296332,S,20210826,00000000,S,20210826,00000000
43296760,S,20210826,00000000,S,20210826,00000000
43301250,S,20210826,00000000,S,20210826,00000000
43301355,S,20210826,20261231,N,00000000,00000000
43303977,N,20210827,20251231,N,20210827,20251231
43305371,S,20250101,20261231,N,20210827,20220731
43305819,S,20210827,20261231,S,20210827,20261231
43307135,S,20210827,00000000,S,20210827,00000000
43307773,N,20210827,20241231,N,20210827,20241231
43308084,S,20210827,00000000,S,20210827,00000000
43309378,S,20210827,00000000,N,00000000,00000000
43309643,S,20210827,00000000,S,20210827,00000000
43312515,S,20210827,00000000,S,20210827,00000000
43314156,S,20210827,00000000,S,20210827,00000000
43320006,S,20210828,00000000,S,20210828,00000000
43324064,S,20210829,00000000,S,20210829,00000000
43327581,S,20240101,00000000,N,00000000,00000000
43328477,S,20210830,00000000,N,20210830,20231231
43329811,S,20210830,00000000,S,20210830,00000000
43330807,S,20210830,00000000,S,20210830,00000000
43331939,S,20210830,20261231,N,00000000,00000000
43332142,N,20210830,20251231,N,20210830,20251231
43332698,S,20210830,00000000,S,20210830,00000000
43334288,S,20210830,00000000,S,20210830,00000000
43336094,S,20210830,00000000,S,20210830,00000000
43337470,N,20210830,20231231,N,00000000,00000000
43338941,S,20210830,00000000,S,20210830,00000000
43341616,S,20210830,20261231,S,20210830,20261231
43343514,S,20210831,00000000,N,00000000,00000000
43343750,S,20210831,00000000,S,20210831,00000000
43344581,N,20210831,20241231,N,20210831,20211231
43348662,N,20210831,20241231,N,20210831,20241231
43349086,S,20210831,00000000,S,20210831,00000000
43349822,S,20210831,00000000,S,20210831,00000000
43354514,S,20210831,00000000,N,00000000,00000000
43354807,S,20250101,00000000,N,00000000,00000000
43355253,S,20250101,20261231,N,00000000,00000000
43357368,S,20210831,00000000,S,20210831,00000000
43357988,S,20210831,00000000,S,20210831,00000000
43359077,S,20210831,00000000,S,20210831,00000000
43360245,S,20210831,00000000,S,20210831,00000000
43361454,S,20210901,00000000,S,20210901,00000000
43362139,S,20210901,00000000,S,20210901,00000000
43362232,S,20210901,00000000,S,20210901,00000000
43368332,S,20210901,00000000,S,20210901,00000000
43377627,S,20210901,00000000,S,20210901,00000000
43381312,S,20210901,00000000,N,20210901,20230531
43381948,S,20260101,00000000,N,00000000,00000000
43382125,S,20210902,20261231,S,20210902,20261231
43383434,N,20210902,20241231,N,20210902,20241231
43384397,S,20210902,00000000,S,20210902,00000000
43385318,S,20210902,00000000,S,20210902,00000000
43387303,S,20210902,00000000,S,20210902,00000000
43390474,N,20250101,20251231,N,20250101,20251231
43391254,N,20210902,20251231,N,20210902,20251231
43394532,S,20210902,00000000,N,20210902,20250930
43397722,N,20210902,20251231,N,00000000,00000000
43397745,S,20210902,00000000,S,20210902,00000000
43398175,S,20210902,00000000,S,20210902,00000000
43400742,S,20210903,00000000,N,20210903,20251031
43401141,N,20210903,20221231,N,00000000,00000000
43410050,S,20210903,00000000,S,20210903,00000000
43411075,S,20210903,00000000,N,20210903,20241231
43412411,S,20210903,00000000,S,20210903,00000000
43413218,S,20210903,00000000,S,20210903,00000000
43413872,S,20210903,00000000,S,20210903,00000000
43414442,S,20210903,00000000,S,20210903,00000000
43415361,S,20210904,00000000,S,20210904,00000000
43418173,N,20210905,20241231,N,20210905,20240430
43418335,S,20210905,00000000,S,20210905,00000000
43420699,S,20260101,20261231,N,00000000,00000000
43422115,N,20210906,20241231,N,20210906,20241231
43424625,S,20210906,20261231,N,00000000,00000000
43428299,S,20210906,00000000,S,20210906,00000000
43428677,N,20210906,20241231,N,20210906,20241231
43429047,S,20210906,00000000,S,20210906,00000000
43429940,S,20210907,00000000,S,20210907,00000000
43429977,S,20210907,00000000,S,20210907,00000000
43433299,S,20210908,00000000,S,20210908,00000000
43436077,N,20210908,20251231,N,20210908,20251231
43436850,N,20210908,20241231,N,20210908,20241231
43437063,S,20210908,00000000,S,20210908,00000000
43437519,S,20210908,00000000,S,20210908,00000000
43438904,S,20210908,00000000,S,20210908,00000000
43439521,S,20210908,20261231,N,20210908,20221231
43441837,S,20210908,00000000,S,20210908,00000000
43445909,N,20210908,20240229,N,00000000,00000000
43447971,S,20210908,00000000,S,20210908,00000000
43448183,N,20210908,20251231,N,20210908,20231231
43449581,S,20210909,00000000,S,20210909,00000000
43451719,S,20210909,00000000,N,00000000,00000000
43452497,S,20210909,00000000,S,20210909,00000000
43454043,N,20210909,20251231,N,20210909,20251231
43454641,S,20210909,20261231,S,20210909,20261231
43457119,S,20210909,00000000,S,20210909,00000000
43458334,S,20210909,00000000,S,20210909,00000000
43461457,S,20210909,00000000,N,20210909,20231231
43466340,S,20210910,00000000,S,20210910,00000000
43467509,S,20260101,20261231,N,00000000,00000000
43467841,N,20240101,20260731,N,00000000,00000000
43468713,S,20210910,00000000,S,20210910,00000000
43469135,S,20210910,00000000,S,20210910,00000000
43469898,S,20210910,00000000,S,20210910,00000000
43470496,S,20210910,00000000,S,20210910,00000000
43476644,S,20210910,00000000,N,20210910,20230331
