CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE,SEBRAE_situacao_atual,SEBRAE_razao_social,SEBRAE_SETOR,SEBRAE_CNAE PRIMARIO,SEBRAE_Porte,SEBRAE_Municipio,SEBRAE_SESI,SEBRAE_SENAI,SEBRAE_cnae_codigo_recuperado,SEBRAE_cnae_norm,SEBRAE_cnae_divisao,SEBRAE_secao,SEBRAE_setor,SEBRAE_subsetor,SEBRAE_e_industria,SEBRAE_auditoria,SEBRAE_elegivel_sebrae,SEBRAE_oportunidade_comercial,ENCONTRADO_SEBRAE
27230297000138,Maria Lecia Dos Santos,Industria | Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,MARIA LECIA DOS SANTOS,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Delmiro Gouveia,27230297000138.0,27230297000138.0,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
27242125000184,Vergare Engenharia Ltda,Industria,3.Pequena,Serviços de engenharia,Migração,False,True,False,SOMENTE SENAI,1,ATIVA,VERGARE ENGENHARIA LTDA,INDÚSTRIA,Servicos de engenharia,PEQUENO PORTE,Maceió,,27242125000184.0,7112-0/00,7112000.0,71.0,M,Atividades profissionais e tecnicas,Atividades profissionais e tecnicas,False,False,NAO,FORA DO ESCOPO SEBRAE,True
27347894000147,Estofados Bello Ltda,Industria,3.Pequena,Fabricação de móveis com predominância de madeira,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,ESTOFADOS BELLO LTDA,INDÚSTRIA,Fabricacao de moveis com predominancia de madeira,PEQUENO PORTE,Maceió,,27347894000147.0,3101-2/00,3101200.0,31.0,C,Industria de transformacao,Moveis,True,False,SIM,NÃO ATENDIDA,True
27973446000159,Itsnet Telecom Ltda,Indústria,4.Micro,Provedores de acesso às redes de comunicações,Migração,True,False,False,SOMENTE SESI,1,ATIVA,ITSNET TELECOM LTDA,INDÚSTRIA,Provedores de acesso as redes de comunicacoes,MICRO EMPRESA,Arapiraca,27973446000159.0,,6190-6/01,6190601.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
28017647000145,Led Engenharia E Sinalizacao Ltda,Industria,3.Pequena,Construção de rodovias e ferrovias,Migração,False,True,False,SOMENTE SENAI,1,ATIVA,LED ENGENHARIA E SINALIZACAO LTDA,INDÚSTRIA,Construcao de rodovias e ferrovias,DEMAIS,Maceió,,28017647000145.0,4211-1/01,4211101.0,42.0,F,Construcao,Obras de infraestrutura,True,False,SIM,NÃO ATENDIDA,True
28094708000178,D H S De Albuquerque Pontes,Industria | Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,D H S DE ALBUQUERQUE PONTES,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Maceió,28094708000178.0,28094708000178.0,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
28154598000192,M De Almeida  Barros Ltda,Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Proposta,True,False,False,SOMENTE SESI,1,ATIVA,M DE ALMEIDA BARROS LTDA,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Maceió,28154598000192.0,,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
28160531000160,Jose Anderson De Oliveira Silva,Indústria,4.Micro,Serviços de comunicação multimídia - SCM,Migração,True,False,False,SOMENTE SESI,1,ATIVA,JOSE ANDERSON DE OLIVEIRA SILVA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Arapiraca,28160531000160.0,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
28206503000137,Ecosolar Energia E Solucoes Ltda,Indústria,4.Micro,Instalação e manutenção elétrica,Migração,True,False,False,SOMENTE SESI,1,ATIVA,ECOSOLAR ENERGIA E SOLUCOES LTDA,INDÚSTRIA,Instalacao e manutencao eletrica,PEQUENO PORTE,Maceió,28206503000137.0,,4321-5/00,4321500.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True
28333798000102,Ceramica Lider Ltda,Indústria,3.Pequena,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",Migração,True,False,False,SOMENTE SESI,1,ATIVA,CERAMICA LIDER LTDA,INDÚSTRIA,"Fabricacao de artefatos de ceramica e barro cozido para uso na construcao, exceto azulejos e pisos",MICRO EMPRESA,Porto Calvo,28333798000102.0,,2342-7/02,2342702.0,23.0,C,Industria de transformacao,Produtos de minerais nao-metalicos,True,False,SIM,NÃO ATENDIDA,True
28450759000195,F T De Souza Fabricacoes E Construcoes,Industria,4.Micro,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,F T DE SOUZA FABRICACOES E CONSTRUCOES,INDÚSTRIA,"Fabricacao de artefatos de ceramica e barro cozido para uso na construcao, exceto azulejos e pisos",MICRO EMPRESA,Santana do Ipanema,,28450759000195.0,2342-7/02,2342702.0,23.0,C,Industria de transformacao,Produtos de minerais nao-metalicos,True,False,SIM,NÃO ATENDIDA,True
28620879000193,Impacto Bioenergia Alagoas S.a,Industria | Indústria,2.Média,Geração de energia elétrica,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,IMPACTO BIOENERGIA ALAGOAS S.A,INDÚSTRIA,Geracao de energia eletrica,DEMAIS,Teotônio Vilela,28620879000193.0,28620879000193.0,3511-5/01,3511501.0,35.0,D,Eletricidade e gas,"Eletricidade, gas e outras utilidades",True,False,SIM,NÃO ATENDIDA,True
28790078000176,Globomaq - Servicos E Equipamentos Industriais Ltda,Indústria,4.Micro,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,Migração,True,False,False,SOMENTE SESI,1,ATIVA,GLOBOMAQ - SERVICOS E EQUIPAMENTOS INDUSTRIAIS LTDA,INDÚSTRIA,Manutencao e reparacao de outras maquinas e equipamentos para usos industriais nao especificados anteriormente,MICRO EMPRESA,Marechal Deodoro,28790078000176.0,,3314-7/99,3314799.0,33.0,C,Industria de transformacao,"Manutencao, reparacao e instalacao de maquinas",True,False,SIM,NÃO ATENDIDA,True
28839212000186,Adriana Da Silva Santos,Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração,True,False,False,SOMENTE SESI,1,ATIVA,ADRIANA DA SILVA SANTOS,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Barra de Santo Antônio,28839212000186.0,,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
28868681000123,P H Pereira Gomes,Indústria,4.Micro,Fabricação de biscoitos e bolachas,Migração,True,False,False,SOMENTE SESI,1,ATIVA,P H PEREIRA GOMES,INDÚSTRIA,Fabricacao de biscoitos e bolachas,MICRO EMPRESA,Arapiraca,28868681000123.0,,1092-9/00,1092900.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
29061526000163,Dpmc Comercio De Agua Mineral Ltda,Indústria,3.Pequena,Fabricação de águas envasadas,Migração,True,False,False,SOMENTE SESI,1,ATIVA,DPMC COMERCIO DE AGUA MINERAL LTDA,INDÚSTRIA,Fabricacao de aguas envasadas,DEMAIS,Maceió,29061526000163.0,29061526000163.0,1121-6/00,1121600.0,11.0,C,Industria de transformacao,Bebidas,True,False,SIM,NÃO ATENDIDA,True
29078439000119,Artur Luis Ferreira De Lima Ltda,Indústria,4.Micro,Serviços de comunicação multimídia - SCM,Migração,True,False,False,SOMENTE SESI,1,ATIVA,ARTUR LUIS FERREIRA DE LIMA LTDA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Arapiraca,29078439000119.0,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
