CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE,SEBRAE_situacao_atual,SEBRAE_razao_social,SEBRAE_SETOR,SEBRAE_CNAE PRIMARIO,SEBRAE_Porte,SEBRAE_Municipio,SEBRAE_SESI,SEBRAE_SENAI,SEBRAE_cnae_codigo_recuperado,SEBRAE_cnae_norm,SEBRAE_cnae_divisao,SEBRAE_secao,SEBRAE_setor,SEBRAE_subsetor,SEBRAE_e_industria,SEBRAE_auditoria,SEBRAE_elegivel_sebrae,SEBRAE_oportunidade_comercial,ENCONTRADO_SEBRAE
57991098000103,Cavalcante & Rolim Design Spe Ltda,Industria,3.Pequena,Construção de edifícios,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,CAVALCANTE & ROLIM DESIGN SPE LTDA,INDÚSTRIA,Construcao de edificios,DEMAIS,Maceió,,57991098000103.0,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
58012728000113,Claudivaldo B Lima  Ltda,Não Indústria,4.Micro,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
58239912000109,Rx3 Empreendimento Imobiliario Spe Ltda,Indústria,4.Micro,Incorporação de empreendimentos imobiliários,Migração,True,False,False,SOMENTE SESI,1,ATIVA,RX3 EMPREENDIMENTO IMOBILIARIO SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,MICRO EMPRESA,Maceió,58239912000109.0,,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
58257752000112,Jomec Centro Automotivo Ltda,Indústria,4.Micro,Serviços de manutenção e reparação mecânica de veículos automotores,Migração,True,False,False,SOMENTE SESI,1,ATIVA,JOMEC CENTRO AUTOMOTIVO LTDA,INDÚSTRIA,Servicos de manutencao e reparacao mecanica de veiculos automotores,MICRO EMPRESA,Rio Largo,58257752000112.0,,4520-0/01,4520001.0,45.0,G,Comercio e reparacao de veiculos,Comercio e reparacao de veiculos,False,False,NAO,FORA DO ESCOPO SEBRAE,True
58292666000140,Maceio Plasticouro Al Ltda,Não Indústria,4.Micro,Comércio varejista de tecidos,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
58304520000178,Frigorifico Jcs Ltda,Indústria,3.Pequena,Fabricação de produtos de carne,Migração,True,False,False,SOMENTE SESI,1,ATIVA,FRIGORIFICO JCS LTDA,INDÚSTRIA,Fabricacao de produtos de carne,PEQUENO PORTE,Maceió,58304520000178.0,,1013-9/01,1013901.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
58377116000124,Qaab Empreendimento Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,QAAB EMPREENDIMENTO SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,58377116000124.0,58377116000124.0,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
58397792000160,Apoio Atf Consultoria Especializada Ltda,Não Indústria,4.Micro,Serviços combinados de escritório e apoio administrativo,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
58406719000107,Bsm Ccmp Aurus Empreendimento Imobiliario Spe Ltda,Industria,3.Pequena,Incorporação de empreendimentos imobiliários,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,BSM CCMP AURUS EMPREENDIMENTO IMOBILIARIO SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,,58406719000107.0,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
58457553000158,Alvorada Locacao Ltda,Não Indústria,4.Micro,Aluguel de máquinas e equipamentos para escritório,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
58528303000161,Reserva Aruma Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,RESERVA ARUMA SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,58528303000161.0,58528303000161.0,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
58613414000176,Batista Servicos De Telecomonicacao Ltda,Indústria,4.Micro,Serviços de comunicação multimídia - SCM,Migração,True,False,False,SOMENTE SESI,1,ATIVA,BATISTA SERVICOS DE TELECOMUNICACAO LTDA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Paripueira,58613414000176.0,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
