CNPJ,RazaoSocial_relacionamento,COBERTURA,Porte_relacionamento,CNAE_relacionamento,razao_social_receita,situacao_cadastral,data_situacao_cadastral,municipio_receita,uf_receita,cnae_fiscal_codigo,cnae_fiscal_descricao,erro,classificacao
3975548000145,Hidroenergia Engenharia E Automacao Ltda,SESI,4.Micro,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,HIDROENERGIA ENGENHARIA E AUTOMACAO LTDA,ATIVA,,IJUI,RS,2731700.0,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,,ATIVA_OUTRA_UF
4638833000133,E2ps Engenharia E Equipamentos Industriais Ltda,SESI,2.Média,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",E2PS ENGENHARIA E EQUIPAMENTOS INDUSTRIAIS LTDA,ATIVA,2005-08-27,CAMPO BOM,RS,2862300.0,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",,ATIVA_OUTRA_UF
5623256000179,Inside Sistemas Ltda,SESI,2.Média,Desenvolvimento e licenciamento de programas de computador não-customizáveis,INSIDE SISTEMAS LTDA,ATIVA,2004-01-17,TOLEDO,PR,6203100.0,Desenvolvimento e licenciamento de programas de computador não-customizáveis,,ATIVA_OUTRA_UF
6043133000121,Gentil Aurelio Rodrigues,SESI,4.Micro,Obras de acabamento em gesso e estuque,GENTIL AURELIO RODRIGUES,ATIVA,2003-12-22,NATAL,RN,4330403.0,Obras de acabamento em gesso e estuque,,ATIVA_OUTRA_UF
6964752000159,P3 Engenharia Eletrica Ltda,SESI,2.Média,Serviços de engenharia,P3 ENGENHARIA ELETRICA LTDA,ATIVA,,INDAIAL,SC,7112000.0,Serviços de engenharia,,ATIVA_OUTRA_UF
8183359000153,Prodiet Nutricao Clinica S.a,SESI,2.Média,Fabricação de outros produtos alimentícios não especificados anteriormente,PRODIET NUTRICAO CLINICA S.A,ATIVA,2006-06-12,CURITIBA,PR,1099699.0,Fabricação de outros produtos alimentícios não especificados anteriormente,,ATIVA_OUTRA_UF
8413825000140,Pimentel Lopes Engenharia E Arquitetura Ltda,SESI,3.Pequena,Serviços de engenharia,PIMENTEL LOPES ENGENHARIA E ARQUITETURA LTDA,SUSPENSA,2025-12-22,MACEIO,AL,7112000.0,Serviços de engenharia,,NAO_ATIVA
8467115000100,Companhia Estadual De Distribuicao De Energia Eletrica - Ceee-d,SESI,3.Pequena,Distribuição de energia elétrica,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE-D,ATIVA,2006-11-28,PORTO ALEGRE,RS,3514000.0,Distribuição de energia elétrica,,ATIVA_OUTRA_UF
8507416000102,Tmk Servicos E Montagens Ltda,SESI,4.Micro,Construção de estações e redes de distribuição de energia elétrica,TMK SERVICOS E MONTAGENS LTDA,ATIVA,2006-12-01,SERRA,ES,4221902.0,Construção de estações e redes de distribuição de energia elétrica,,ATIVA_OUTRA_UF
8862530000150,Tigre Materiais E Solucoes Para Construcao Ltda.,SESI,1.Grande,Fabricação de tubos e acessórios de material plástico para uso na construção,TIGRE MATERIAIS E SOLUCOES PARA CONSTRUCAO LTDA.,ATIVA,2007-06-04,JOINVILLE,SC,2223400.0,Fabricação de tubos e acessórios de material plástico para uso na construção,,ATIVA_OUTRA_UF
