Origem da Cobertura,CNPJ,Razão Social,Categoria,Porte,CNAE,COBERTURA,CNPJ_NORMALIZADO
Migração,55617622000155,J C Da Silva Carnes Ltda,Não Indústria,4.Micro,Comércio atacadista de carnes bovinas e suínas e derivados,SESI,55617622000155
Migração,55963809000100,Lais Carvalho Lima Jatoba,Não Indústria,4.Micro,Cabeleireiros,SESI,55963809000100
Migração,56022975000175,Restaurante Fusion Ltda,Não Indústria,3.Pequena,Restaurantes e similares,SESI,56022975000175
Proposta,57467850000111,Cymi Aguas Alagoas S.a.,Indústria,3.Pequena,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",SESI,57467850000111
Proposta,57558651000119,Escola Dom Bosco Maceio Ltda,Não Indústria,4.Micro,Educação infantil - pré-escola,SESI,57558651000119
Migração,57727013000184,Ultra Oleo E Jato Comercio E Servicos Automotivos Ltda,Não Indústria,4.Micro,Comércio varejista de lubrificantes,SESI,57727013000184
Migração,57876279000199,Tamara Araujo Consultorio Odontologico Ltda,Não Indústria,4.Micro,Atividade odontológica com recursos para realização de procedimentos cirúrgicos,SESI,57876279000199
Migração,58012728000113,Claudivaldo B Lima  Ltda,Não Indústria,4.Micro,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",SESI,58012728000113
Migração,58292666000140,Maceio Plasticouro Al Ltda,Não Indústria,4.Micro,Comércio varejista de tecidos,SESI,58292666000140
Migração,58397792000160,Apoio Atf Consultoria Especializada Ltda,Não Indústria,4.Micro,Serviços combinados de escritório e apoio administrativo,SESI,58397792000160
Migração,58457553000158,Alvorada Locacao Ltda,Não Indústria,4.Micro,Aluguel de máquinas e equipamentos para escritório,SESI,58457553000158
Migração,59203583000109,Jms Acessorios Ltda,Não Indústria,4.Micro,Comércio varejista especializado de equipamentos de telefonia e comunicação,SESI,59203583000109
Proposta,59322838000144,Aaf Franchising Ltda,Não Indústria,4.Micro,Gestão de ativos intangíveis não-financeiros,SESI,59322838000144
